유저 이름,직업
Petite Poutine,BlackMage
Megadank Memester,Monk
Soviet Hammer,Dragoon
Nox Aero,Bard
Legacy I',WhiteMage
Nahira Vae,DarkKnight
Inpending Death,Paladin
Citalune Moon,Scholar
Limit Break,LimitBreak
Lenor Fragrance,Monk
Sanyon Xenon,Summoner
Rise Areadbhar,Dragoon
Shasha Pony,Bard
Kupo Aliapoh,WhiteMage
Ikki Aincrad,Paladin
Peroro Pororo,Gunbreaker
Mar'one Javelin,Scholar
Ryzo Legend,Samurai
Kaori Miu,BlackMage
Slay Bun,Dragoon
Limit Less,Dancer
Ahri Kagerou,Gunbreaker
Lunesca Hunter,Paladin
Yunah Ffx,Scholar
Lumina Inimii,Astrologian
Tatzu Uzumaki,Samurai
Cecilia Miller,Summoner
Kaizo I',Dragoon
Sur Moon,Bard
Rin Navi,WhiteMage
Xeifer Hawkeye,DarkKnight
Auron Haze,Paladin
Yuni Azure,Scholar
Taco Teurastaja,BlackMage
Aka Chan,Dragoon
Aruha Dakwhil,Monk
Aeryll Magickx,Machinist
Nyanako Nyanyanya,WhiteMage
Gae Opsam,Paladin
Ginko Vaseduva,Gunbreaker
Silvia Lockhart,Scholar
Dafina Ora,BlackMage
Thailurr Hotdog,Monk
Xanther Zolka,Dragoon
Zevo Vai,Bard
Momo Sama,WhiteMage
Rin Tin,WhiteMage
Violent Destruction,DarkKnight
Silver Falkor,Paladin
Katerina Deveraux,BlackMage
Buzzy Bounce,Monk
Duro Ru',Dancer
Plzcarryme Senpai,Gunbreaker
Tautu E'tu,Paladin
Sora Belle,Astrologian
Feiryn Luensa,BlackMage
Lumber Break,Dragoon
Miranda Seseau,Bard
Naiah Amari,WhiteMage
Sasha Arkwright,Paladin
Zargabaath Galleon,DarkKnight
Kareth Crestfall,Scholar
Tsutsumi Tsumi,BlackMage
Celsius Skye,Monk
Hime Nononoo,Dragoon
Gaaldriana Asanov,Bard
Momofi Mofi,Paladin
Lilya Wynter,Warrior
Diah'li Sotavhi,Scholar
Puchi Mi,Astrologian
Elene Kenjin,Monk
Battle Litany,BlackMage
Alkaid Kuramoto,Dragoon
Yami Yukihime,Dancer
Aunwae Kilath,WhiteMage
Lena Redhardt,DarkKnight
Yosh Bosh,Gunbreaker
Sullus Redran,Scholar
Yud Tnb,Monk
Me Asshe,BlackMage
Quwrof Wrlccywrlfr,Dragoon
Ayks Fell,Bard
Jun Sharooon,Gunbreaker
Shannon Hartley,WhiteMage
Spark Design,Paladin
Lucky Ri,Scholar
Aix Len,Monk
Tomada Rin,BlackMage
Eve Moneypenny,Dragoon
Kururu Kureru,Dancer
Soren Bjerg,WhiteMage
Oiraha Bii,Gunbreaker
Arsest Hong,DarkKnight
Noah Liddell,Scholar
